Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2025-11-11,19:00,Division 1 Herrar Västra Götaland,IBK Kungälv,IBF Backadalen,Mimershus A-hallen,Tobias Anderberg,Jacob Johansson,https://stats.innebandy.se/sasong/43/serie/40701/match/1570558
2025-11-11,19:45,Division 1 Herrar Västra Götaland,Floda IBK,FBC Partille,Nova Floda Sportcenter A-hall,Richard Claesson,Martin Johansson,https://stats.innebandy.se/sasong/43/serie/40701/match/1570559
2025-11-11,20:00,Herrar Div. 3 B,Korsvägen BBK H3,IK Zenith H3,Lundenhallen,Kristoffer Lind,Sebastian Ågren,https://stats.innebandy.se/sasong/43/serie/42065/match/1630543
2025-11-11,18:20,Pantamera Flickor B-ungdom A,Eken IBK DJ,Lindås IBK F10/11 Svart,Ekenhallen 1,Alexander Hellström,Emir Rajabi,https://stats.innebandy.se/sasong/43/serie/42386/match/1648940
2025-11-11,19:30,Pantamera Pojkar B-ungdom C,IBK Kungälv Ungdom Utveckling,Surte IS IBK P10/11,Munkegärdehallen,Albin Wennersten,Senad Olevic,https://stats.innebandy.se/sasong/43/serie/42371/match/1648516
2025-11-11,09:00,Skol DM Högstadiet,Skol DM Högstadiet Lindås Arena 0900-1200,Skol DM Högstadiet Lindås Arena 0900-1200,Lindås Waves Arena,Robin Boqvist,Alexander Rydqvist,https://stats.innebandy.se/sasong/43/serie/42788/match/1666506
2025-11-11,09:00,Skol DM Högstadiet,Skol DM Högstadiet Bohushallen 0900-1200,Skol DM Högstadiet Bohushallen 0900-1200,Bohushallen,Mohsen Gholami,Semir Aganspahic,https://stats.innebandy.se/sasong/43/serie/42788/match/1667662
2025-11-11,12:00,Skol DM Högstadiet,Skol DM Högstadiet Lindås Arena 1200-1500,Skol DM Högstadiet Lindås Arena 1200-1500,Lindås Waves Arena,Robin Boqvist,Per Sundvall,https://stats.innebandy.se/sasong/43/serie/42788/match/1666509
2025-11-11,12:00,Skol DM Högstadiet,Skol DM Högstadiet Bohushallen 1200 - 1500,Skol DM Högstadiet Bohushallen 1200 - 1500,Bohushallen,Mohsen Gholami,Semir Aganspahic,https://stats.innebandy.se/sasong/43/serie/42788/match/1667663
2025-11-12,20:10,Crabions League 25-26,Tigers,Krokstrands Gräv,Nordby Supermarkethallen A-hallen,,,https://stats.innebandy.se/sasong/43/serie/42616/match/1661929
2025-11-12,21:00,Crabions League 25-26,Park/ Dahlbergs,Turnegänget,Nordby Supermarkethallen A-hallen,,,https://stats.innebandy.se/sasong/43/serie/42616/match/1661930
2025-11-12,19:30,Division 1 Herrar Västra Götaland,Fristads GoIF,Pixbo IBF,Nya Fristadshallen,Marcus Larsson,Petter Enlund,https://stats.innebandy.se/sasong/43/serie/40701/match/1570560
2025-11-13,20:00,Dam Veteraner,Landvetter IBK / Utbynäs SK DV,Lindome IBK DV,Landvetter Idrottshall,Sebastian Cedgard,Tage Sandquist,https://stats.innebandy.se/sasong/43/serie/42081/match/1653277
2025-11-13,19:00,Damer Div. 2,Burås IK D3,FBC Vinga D2,Svingelns Sporthall,Linus Backlund,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/42062/match/1629508
2025-11-13,19:15,Division 1 Herrar Västra Götaland,IBK Göteborg,Särö IBK,Lundenhallen,,,https://stats.innebandy.se/sasong/43/serie/40701/match/1570557
2025-11-13,20:00,Juniorallsvenskan G DJ18,Warberg IBF,Lindome IBK,"Sparbanken Wictory Center, Unihocplanen",Erik Strandborg,Oskar Dunör,https://stats.innebandy.se/sasong/43/serie/41555/match/1606476
2025-11-13,18:50,Pantamera Flickor B-ungdom B,IK Zenith Svart,Lindome IBK F10/11,Björlanda Idrottshall,Arthur Nielsen,Yosuf Amiri,https://stats.innebandy.se/sasong/43/serie/42387/match/1648972
2025-11-13,19:35,Pantamera Herrjunior D,Lindome IBK/Almås IBK U-16,Kärra IBK,Streteredsskolan,Felix Broström,Meisam Hosseini,https://stats.innebandy.se/sasong/43/serie/42366/match/1648425
2025-11-13,08:30,Skol DM Högstadiet,Skol DM Gymnasiet Lindås Arena 0830 - 1130,Skol DM Gymnasiet Lindås Arena 0830 - 1130,Lindås Waves Arena,Alexander Rydqvist,Mustaf Osman,https://stats.innebandy.se/sasong/43/serie/42788/match/1667965
2025-11-13,11:30,Skol DM Högstadiet,Skol DM Gymnasiet Lindås Arena 1130 - 1500,Skol DM Gymnasiet Lindås Arena 1130 - 1500,Lindås Waves Arena,Emmy Birgersson,Per Sundvall,https://stats.innebandy.se/sasong/43/serie/42788/match/1667966
