date,federationId,match_link,season,serie,arena,home_team,away_team,domare1,domare2
2025-11-17,18,https://stats.innebandy.se/sasong/43/serie/41550/match/1591539,2025/26,Juniorallsvenskan B DJ18,Uw-Tech Arena 2,580731031,KFUM Falun/IBF Falun Utveckling,KAIS Mora UIF,Michael Rosén,Jonas Langgren
2025-11-17,18,https://stats.innebandy.se/sasong/43/serie/41540/match/1591449,2025/26,Juniorallsvenskan B HJ18,Uw-Tech Arena 1,580701031,IBF Falun Utveckling,KAIS Mora UIF,Hasse Fogelberg,Peter Andersson
2025-11-17,22,https://stats.innebandy.se/sasong/43/serie/41130/match/1667618,2025/26,Semifinaler Herrsenior DM,Halmstad Arena B 1,070955001,Halmstads IBK,Särö IBK Div 1,Tobias Sandblom,Christoffer Söderström
2025-11-17,22,https://stats.innebandy.se/sasong/43/serie/41130/match/1667619,2025/26,Semifinaler Herrsenior DM,Brearedshallen,070955002,Träslövsläge IF Herr Div 2,Onsala IBK A-lag,Albin Persson,Axel Sagdahl
2025-11-17,6,https://stats.innebandy.se/sasong/43/serie/42052/match/1625707,2025/26,Pantamera Pojkar A (P09),Aggarpshallen,131031014,IBS Svedala P09/10,Malmhaug IBF P09,Leo Hällöf,Jakob Björkman Rydnemalm
2025-11-17,8,https://stats.innebandy.se/sasong/43/serie/42361/match/1647464,2025/26,Bäst i Stan Herrjunior – Slutspel,Värmdö sporthall,150165006,Värmdö IF,IBF Offensiv Lidingö,Alexander Mattsson,Rasmus Bergne
2025-11-17,8,https://stats.innebandy.se/sasong/43/serie/40774/match/1580995,2025/26,Damer Division 3 Norra,Rotebrohallen,150036025,FBC Sollentuna (C),Rosersberg Arlanda IBK (B),Ayub Aden,Hannes Hovmöller
2025-11-17,8,https://stats.innebandy.se/sasong/43/serie/41542/match/1597537,2025/26,Juniorallsvenskan D HJ18,Hässelbyhallen,580703050,Hässelby SK IBK,Tyresö Trollbäcken IBK,Hampus Viking,Gabriel Nääs
2025-11-17,1,https://stats.innebandy.se/sasong/43/serie/41550/match/1591539,2025/26,Juniorallsvenskan B DJ18,Uw-Tech Arena 2,580731031,KFUM Falun/IBF Falun Utveckling,KAIS Mora UIF,Michael Rosén,Jonas Langgren
2025-11-17,1,https://stats.innebandy.se/sasong/43/serie/41540/match/1591449,2025/26,Juniorallsvenskan B HJ18,Uw-Tech Arena 1,580701031,IBF Falun Utveckling,KAIS Mora UIF,Hasse Fogelberg,Peter Andersson
2025-11-17,1,https://stats.innebandy.se/sasong/43/serie/41542/match/1597537,2025/26,Juniorallsvenskan D HJ18,Hässelbyhallen,580703050,Hässelby SK IBK,Tyresö Trollbäcken IBK,Hampus Viking,Gabriel Nääs
2025-11-17,10,https://stats.innebandy.se/sasong/43/serie/40774/match/1580995,2025/26,Damer Division 3 Norra,Rotebrohallen,150036025,FBC Sollentuna (C),Rosersberg Arlanda IBK (B),Ayub Aden,Hannes Hovmöller
2025-11-17,10,https://stats.innebandy.se/sasong/43/serie/41906/match/1644003,2025/26,Pantamera Pojkar röd div 3 Grupp 2 2011/2012,Björklinge Sporthall,171218010,Björklinge BK P11,Bälinge IF P11/12,Lydia Törnfeldt,Jimmy Johansson
2025-11-17,12,https://stats.innebandy.se/sasong/43/serie/42632/match/1663385,2025/26,DM Herrar 2026 Omg 1,Musköten 2,199110001,Sandåkerns SK,Röbäcks IF,Mats Erelund,Peter Saari
2025-11-17,14,https://stats.innebandy.se/sasong/43/serie/41516/match/1576136,2025/26,Division 1 Damer,"Fristadhallen, Fristad",204317022,Fristads GoIF D1,Wårgårda IBK Dam A-lag,Patrik Augustsson,Emil Åkervik
2025-11-17,21,https://stats.innebandy.se/sasong/43/serie/42080/match/1647660,2025/26,Damer Div. 3,Hedenskolans Idrottshall,061000054,Öckerö IBK D3,Hindås IBK D3,Joakim Jögi,Kristoffer Lind
