Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2024-01-03,22:48,Svenska Cupen Damer Semifinal 2,Västerås Rönnby IBK,Pixbo IBK,Mälarenergi Arena A,Jörgen Andersson,Kevin Cardell,https://stats.innebandy.se/sasong/43/serie/36476/match/1429507
2024-01-03,22:48,SSL - Svenska Superligan Herr,IBF Falun,Pixbo IBK,Uw-Tech Arena,Glenn Boström,Håkan Söderman,https://stats.innebandy.se/sasong/43/serie/34677/match/1344574
2024-01-03,19:30,Herrar tr-matcher 2023/24,Surte IS IBK H5,IBF Backadalen Div 6,Bohushallen,Thomas Johansson,Per Sundvall,https://stats.innebandy.se/sasong/43/serie/34659/match/1441884
2024-01-04,20:15,Herrar Div 1 Västra Götaland,Träslövsläge IF,IBF Backadalen,Brearedshallen,Tobias Anderberg,Jacob Johansson,https://stats.innebandy.se/sasong/43/serie/34681/match/1343018
2024-01-05,19:00,SSL - Svenska Superligan Dam,Åkersberga IBF,Pixbo IBK,Österåkers Multiarena Plan 1 - Ljusterö,Henrik Hultin-Öberg,Jakob Westerlund,https://stats.innebandy.se/sasong/43/serie/34685/match/1344743
2024-01-05,19:00,Herrar Div 1 Västra Götaland,IBK Alingsås,Mölndals IBF,"Stadsskogshallen, Alingsås",Måns Löfgren,Petter Enlund,https://stats.innebandy.se/sasong/43/serie/34681/match/1343022
2024-01-06,17:00,SSL - Svenska Superligan Herr,Pixbo IBK,Karlstad IBF,Wallenstam Arena A,Daniel Hultberg,Edo Sabanovic,https://stats.innebandy.se/sasong/43/serie/34677/match/1344581
2024-01-06,14:30,SSL - Svenska Superligan Dam,Täby FC IBK,Pixbo IBK,Hägerneholmshallen,Thomas Jonsson,Roger Nilsson,https://stats.innebandy.se/sasong/43/serie/34685/match/1344746
2024-01-06,15:00,Klubbhuset Herrar Div. 2,Herrestads AIF Rockets H2,IBF Älvstranden H2,Rampen Sporthall (Källdalsskolan),Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/35117/match/1372155
2024-01-06,12:00,Klubbhuset Herrar Div. 3,Eken IBK H3,Myggenäs IBK H3,Ekenhallen 1,Torbjörn Zahner,Roger Zahnér,https://stats.innebandy.se/sasong/43/serie/35118/match/1372804
2024-01-06,13:00,Herrar Allsvenskan Södra,IBK Lund Elit,FBC Lerum,Lerbäckshallen A,Erik Hindemith,Fredrik Lundborg,https://stats.innebandy.se/sasong/43/serie/34676/match/1340899
