Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2025-11-24,20:15,Pantamera Damjunior A Höst,Warberg IBF Junior,Lindås IBK DJ,"Sparbanken Wictory Center, Unihocplanen",Emil Gunnarsson,Gustav Carlviken,https://stats.innebandy.se/sasong/43/serie/42367/match/1648885
2025-11-25,18:45,Juniorallsvenskan G HJ18,FBC Partille,IBK Lidköping/Skara IBK,Qvisthallen,Adnan Tongur,Torbjörn Zahner,https://stats.innebandy.se/sasong/43/serie/41545/match/1591722
2025-11-25,21:00,Pantamera Herrjunior B Höst,FBC Vinga HJ,Varla IBK Juniorer 1 GBG,Hall Of Flame,Pierre Eberhard Berg,Roger Zahnér,https://stats.innebandy.se/sasong/43/serie/42364/match/1648374
2025-11-25,20:00,Pantamera Herrjunior C Höst,IK Zenith HJ,Landvetter IBK U16,Torshallen,Sebastian Ågren,Kristoffer Lind,https://stats.innebandy.se/sasong/43/serie/42365/match/1648404
2025-11-26,20:10,Crabions League 25-26,Tigers,Park/ Dahlbergs,Nordby Supermarkethallen A-hallen,,,https://stats.innebandy.se/sasong/43/serie/42616/match/1661933
2025-11-26,21:00,Crabions League 25-26,Turnegänget,Krokstrands Gräv,Nordby Supermarkethallen A-hallen,,,https://stats.innebandy.se/sasong/43/serie/42616/match/1661934
2025-11-26,20:40,Damer Div. 3,Hindås IBK D3,Fristads GoIF / Sandared IBS D3 Gbg,Hindås Idrottshall,Håkan Krafft,Pierre Eberhard Berg,https://stats.innebandy.se/sasong/43/serie/42080/match/1647650
2025-11-26,19:00,Juniorallsvenskan G HJ18,FBC Partille,IBK Kungälv,Partillebohallen,Jonny Gaardén,Thomas Andersson,https://stats.innebandy.se/sasong/43/serie/41545/match/1591732
2025-11-26,19:30,Pantamera Ungdom-C Pojkar C Höst,IK Zenith P11/12,FBC Partille P12 Röd,Björlanda Idrottshall,Casper Claesson,Jonathan Pettersson,https://stats.innebandy.se/sasong/43/serie/42377/match/1649560
2025-11-26,18:45,Pantamera Ungdom-C Pojkar E Höst,IBF Älvstranden P11/12,IBK Bergum P12-13,Santoshallen,Olle Lejon,Oscar Haaga,https://stats.innebandy.se/sasong/43/serie/42379/match/1649864
2025-11-26,09:00,Skol DM Högstadiet,Skol RM NIU Gymn Wallenstam 0900 - 1230,Skol RM NIU Gymn Wallenstam 0900 - 1230,Wallenstam Arena A,Yosuf Amiri,Robin Boqvist,https://stats.innebandy.se/sasong/43/serie/42788/match/1668107
2025-11-26,12:30,Skol DM Högstadiet,Skol RM NIU Gymn Wallenstam 1200 - 1530,Skol RM NIU Gymn Wallenstam 1200 - 1530,Wallenstam Arena A,Mustafa Kalajdzisalihovic,Robin Boqvist,https://stats.innebandy.se/sasong/43/serie/42788/match/1668108
2025-11-27,20:00,Damer Div. 2,Ale IBF D2,Mölndals IBF D2,Ale Kulturrum,Christian Svärdström,Marcus Orrhult,https://stats.innebandy.se/sasong/43/serie/42062/match/1629517
2025-11-27,20:00,Juniorallsvenskan G DJ18,Warberg IBF,IBK Kungälv,"Sparbanken Wictory Center, Unihocplanen",Albin Persson,Jan Svensson,https://stats.innebandy.se/sasong/43/serie/41555/match/1606484
2025-11-27,19:45,Pantamera Ungdom-B Pojkar A Höst,Lindome IBK/Almås IBF U16 Grön,Pixbo IBF P10 Röd,Streteredsskolan,Emir Rajabi,Yosuf Amiri,https://stats.innebandy.se/sasong/43/serie/42369/match/1648460
2025-11-27,20:30,Pantamera Ungdom-B Pojkar E Höst,Frölunda IBK P10-11 Svart,Mölndals IBF P10 Röd,Skyttesskolan,Albin Wennersten,Emmy Birgersson,https://stats.innebandy.se/sasong/43/serie/42373/match/1650716
2025-11-28,18:50,Pantamera Ungdom-B Flickor A Höst,IK Zenith Grön,FBC Partille F09/11 Grön,Björlanda Idrottshall,Albin Wennersten,Emmy Birgersson,https://stats.innebandy.se/sasong/43/serie/42386/match/1648946
2025-11-28,19:00,Damer Div. 1 region,Almås IBF D1,Onsala IBK,Almåshallen A,Tommy Runhammar,Linus Backlund,https://stats.innebandy.se/sasong/43/serie/41175/match/1573121
2025-11-28,19:30,Damer Div. 3,Dingle AIK D3,Öckerö IBK D3,Munkedals Idrottshall,Alexander Hellström,Felix Bark Peterson,https://stats.innebandy.se/sasong/43/serie/42080/match/1647662
2025-11-28,20:00,Damer Div. 3,Mölndals IBF D3,Fristads GoIF / Sandared IBS D3 Gbg,Aktiviteten A-Hall,Adam Jällfält,Thomas Johansson,https://stats.innebandy.se/sasong/43/serie/42080/match/1647663
2025-11-28,20:10,Damer Div. 3,IBK Göteborg D3,Stenungsunds IBK D3,Torpahallen,Emir Rajabi,Robin Boqvist,https://stats.innebandy.se/sasong/43/serie/42080/match/1647666
2025-11-28,19:00,Herrar Div. 2,Kärra IBK H2,FBC Vinga H2,Kärra Sporthall,Linda Lindskog,Sandra Lindskog,https://stats.innebandy.se/sasong/43/serie/42061/match/1629858
2025-11-28,19:00,Herrar Div. 3 B,Eken IBK H3,Lindås IBF H3,Ekenhallen 1,Thomas Andersson,Magnus Fredriksson,https://stats.innebandy.se/sasong/43/serie/42065/match/1630564
2025-11-28,19:30,Herrar Div. 4 A,Orust IBK H4,Hindås IBK H4,Ängås Idrottshall,Thorbjörn Mauritzen,Semir Aganspahic,https://stats.innebandy.se/sasong/43/serie/42079/match/1647928
2025-11-28,19:30,Herrar Div. 4 A,IBF Backadalen H4,Kärra IBK H4,Tuve Sporthall,Håkan Krafft,Pierre Eberhard Berg,https://stats.innebandy.se/sasong/43/serie/42079/match/1647929
2025-11-28,19:30,Herrar Div. 4 B,Öckerö IBK H4,Utbynäs SK H4,Hedenskolans Idrottshall,Hampus Räffling,Tage Sandquist,https://stats.innebandy.se/sasong/43/serie/42082/match/1654535
