Domare,Date,Matcher
Kevin Andersson,2023-08-11,1
Kristian Constantinescu,2023-08-11,1
Adnan Tongur,2023-08-12,1
Filip Karlsson,2023-08-12,1
Hajrudin Begic,2023-08-12,1
Kristian Constantinescu,2023-08-12,1
Martin Matti,2023-08-12,1
Simon Broman,2023-08-12,1
Kevin Andersson,2023-08-13,2
Kristian Constantinescu,2023-08-13,2
Jacob Johansson,2023-08-13,1
Tobias Anderberg,2023-08-13,1
Albin Persson,2023-08-17,1
Tobias Sandblom,2023-08-17,1
Marcus Larsson,2023-08-18,1
Oscar Skogsberg,2023-08-18,1
Adnan Tongur,2023-08-19,1
Alexander Pavlovic,2023-08-19,1
Carl Larsson,2023-08-19,1
Christian Jensen,2023-08-19,1
Filip Karlsson,2023-08-19,1
Hajrudin Begic,2023-08-19,1
Henrik Carlsson,2023-08-19,1
Jan Svensson,2023-08-19,1
Johan Oxenmyr,2023-08-19,1
Jonas Söderberg,2023-08-19,1
Pedram Koublani,2023-08-19,1
Peter Novakovic,2023-08-19,1
Richard Claesson,2023-08-19,1
Robin Boqvist,2023-08-19,1
Adnan Tongur,2023-08-20,1
Christoffer Söderström,2023-08-20,1
Hajrudin Begic,2023-08-20,1
Tobias Sandblom,2023-08-20,1
Aldin Hadziselmovic,2023-08-23,1
Alexander Pavlovic,2023-08-23,1
Carl Otterström,2023-08-23,1
Gabriel Adolfsson,2023-08-23,1
Hajrudin Begic,2023-08-23,1
Peter Novakovic,2023-08-23,1
Marcus Larsson,2023-08-25,1
Oscar Skogsberg,2023-08-25,1
Marcus Larsson,2023-08-26,3
Oscar Skogsberg,2023-08-26,3
Adam Nikolausson,2023-08-26,2
Anders A Nilsson,2023-08-26,2
Marcus Orrhult,2023-08-26,2
Adnan Tongur,2023-08-26,1
Ali Tourabi,2023-08-26,1
Gabriel Adolfsson,2023-08-26,1
Hajrudin Begic,2023-08-26,1
Måns Gilén,2023-08-26,1
Sebastian Kiejs Huhmarniemi,2023-08-26,1
Sigge Svensson Martell,2023-08-26,1
Tony Olsson,2023-08-26,1
Felix Broström,2023-08-27,2
Tommy Runhammar,2023-08-27,2
Aldin Hadziselmovic,2023-08-27,1
Alexander Pavlovic,2023-08-27,1
Hajrudin Begic,2023-08-27,1
Oscar Skogsberg,2023-08-27,1
Adam Kruse,2023-08-29,1
Pierre Eberhard Berg,2023-08-29,1
Pontus Ekengränd,2023-08-29,1
Robin Boqvist,2023-08-29,1
Adam Jällfält,2023-08-30,1
Alexander Rydqvist,2023-08-30,1
Adam Jällfält,2023-09-02,1
Anders Fridh,2023-09-02,1
Christian Svärdström,2023-09-02,1
Erik Haglund,2023-09-02,1
Felix Broström,2023-09-02,1
Jacob Johansson,2023-09-02,1
Marcus Orrhult,2023-09-02,1
Tobias Anderberg,2023-09-02,1
Tommy Runhammar,2023-09-02,1
Björn Ekberg,2023-09-03,1
Eino Kozan,2023-09-03,1
Måns Bartilson,2023-09-04,1
Tommy Runhammar,2023-09-04,1
Adam Jällfält,2023-09-05,1
